"Test Suite","Test Case","Test Step","Step Type","Step Status","Result message","Execution Date"
"TestSuite 1","TestCase 1","Add - Request 1","request","FAILED","Message:[Script Assertion] assert 1==2
        |
        false
","13-Mar-2021 14_17",
"TestSuite 1","TestCase 1","Add - Request 1","request","OK","","13-Mar-2021 14_17",
